,name,bus,p_mw,vm_pu,sn_mva,min_q_mvar,max_q_mvar,scaling,slack,in_service,slack_weight,type,controllable,min_p_mw,max_p_mw
0,FossilCoal1,0,10.0,1.0,,,,1.0,False,True,0.0,,True,0.0,1600.0
1,FossilCoal2,20,10.0,1.0,,,,1.0,False,True,0.0,,True,0.0,1050.0
2,FossilCoal3,20,10.0,1.0,,,,1.0,False,True,0.0,,True,0.0,750.0
3,FossilGas1,0,10.0,1.0,,,,1.0,False,True,0.0,,True,0.0,700.0
4,FossilGas2,0,10.0,1.0,,,,1.0,False,True,0.0,,True,0.0,1400.0
5,FossilGas3,1,10.0,1.0,,,,1.0,False,True,0.0,,True,0.0,850.0
6,FossilGas4,4,10.0,1.0,,,,1.0,False,True,0.0,,True,0.0,450.0
7,FossilGas5,6,10.0,1.0,,,,1.0,False,True,0.0,,True,0.0,700.0
8,FossilGas6,3,10.0,1.0,,,,1.0,False,True,0.0,,True,0.0,900.0
9,FossilGas7,9,10.0,1.0,,,,1.0,False,True,0.0,,True,0.0,250.0
10,FossilGas8,9,10.0,1.0,,,,1.0,False,True,0.0,,True,0.0,250.0
11,FossilGas9,12,10.0,1.0,,,,1.0,False,True,0.0,,True,0.0,750.0
12,FossilGas10,12,10.0,1.0,,,,1.0,False,True,0.0,,True,0.0,200.0
13,FossilGas11,13,10.0,1.0,,,,1.0,False,True,0.0,,True,0.0,100.0
14,FossilGas12,15,10.0,1.0,,,,1.0,False,True,0.0,,True,0.0,250.0
15,FossilGas13,15,10.0,1.0,,,,1.0,False,True,0.0,,True,0.0,450.0
16,FossilGas14,20,10.0,1.0,,,,1.0,False,True,0.0,,True,0.0,950.0
17,FossilGas15,19,10.0,1.0,,,,1.0,False,True,0.0,,True,0.0,750.0
18,FossilGas16,23,10.0,1.0,,,,1.0,False,True,0.0,,True,0.0,850.0
19,FossilGas17,23,10.0,1.0,,,,1.0,False,True,0.0,,True,0.0,450.0
20,FossilGas18,25,10.0,1.0,,,,1.0,False,True,0.0,,True,0.0,1300.0
21,FossilGas19,26,10.0,1.0,,,,1.0,False,True,0.0,,True,0.0,1200.0
22,FossilGas20,28,10.0,1.0,,,,1.0,False,True,0.0,,True,0.0,150.0
23,FossilGas21,31,10.0,1.0,,,,1.0,False,True,0.0,,True,0.0,350.0
24,FossilBio1,19,10.0,1.0,,,,1.0,False,True,0.0,,True,0.0,650.0
