,name,std_type,from_bus,to_bus,length_km,r_ohm_per_km,x_ohm_per_km,c_nf_per_km,g_us_per_km,max_i_ka,df,parallel,type,in_service,r0_ohm_per_km,x0_ohm_per_km,c0_nf_per_km,g0_us_per_km,max_loading_percent
0,line_1,,0,2,1.0,0.0,4.412,0.0,0.0,8.0,1.0,1,,True,0.0,0.0,0.0,0.0,100.0
1,line_2,,1,5,1.0,0.0,1.43,0.0,0.0,6.0,1.0,1,,True,0.0,0.0,0.0,0.0,100.0
2,line_3,,1,4,1.0,0.0,2.177,0.0,0.0,6.6,1.0,1,,True,0.0,0.0,0.0,0.0,100.0
3,line_4,,4,6,1.0,0.0,2.115,0.0,0.0,6.0,1.0,1,,True,0.0,0.0,0.0,0.0,100.0
4,line_5,,3,6,1.0,0.0,6.857,0.0,0.0,7.1,1.0,1,,True,0.0,0.0,0.0,0.0,100.0
5,line_6,,3,7,1.0,0.0,2.882,0.0,0.0,8.0,1.0,1,,True,0.0,0.0,0.0,0.0,100.0
6,line_7,,2,8,1.0,0.0,12.816,0.0,0.0,8.0,1.0,1,,True,0.0,0.0,0.0,0.0,100.0
7,line_8,,7,8,1.0,0.0,4.374,0.0,0.0,6.2,1.0,1,,True,0.0,0.0,0.0,0.0,100.0
8,line_9,,6,9,1.0,0.0,5.155,0.0,0.0,3.1,1.0,1,,True,0.0,0.0,0.0,0.0,100.0
9,line_10,,6,12,1.0,0.0,15.904,0.0,0.0,2.5,1.0,1,,True,0.0,0.0,0.0,0.0,100.0
10,line_11,,5,10,1.0,0.0,5.096,0.0,0.0,6.0,1.0,1,,True,0.0,0.0,0.0,0.0,100.0
11,line_12,,10,13,1.0,0.0,1.828,0.0,0.0,4.94,1.0,1,,True,0.0,0.0,0.0,0.0,100.0
12,line_13,,10,12,1.0,0.0,2.261,0.0,0.0,8.0,1.0,1,,True,0.0,0.0,0.0,0.0,100.0
13,line_14,,9,12,1.0,0.0,10.593,0.0,0.0,2.5,1.0,1,,True,0.0,0.0,0.0,0.0,100.0
14,line_15,,8,11,1.0,0.0,8.263,0.0,0.0,6.2,1.0,1,,True,0.0,0.0,0.0,0.0,100.0
15,line_16,,11,17,1.0,0.0,8.02,0.0,0.0,6.2,1.0,1,,True,0.0,0.0,0.0,0.0,100.0
16,line_17,,12,19,1.0,0.0,4.657,0.0,0.0,6.6,1.0,1,,True,0.0,0.0,0.0,0.0,100.0
17,line_18,,12,16,1.0,0.0,1.798,0.0,0.0,8.0,1.0,1,,True,0.0,0.0,0.0,0.0,100.0
18,line_19,,15,16,1.0,0.0,4.9,0.0,0.0,8.0,1.0,1,,True,0.0,0.0,0.0,0.0,100.0
19,line_20,,13,14,1.0,0.0,0.831,0.0,0.0,8.0,1.0,1,,True,0.0,0.0,0.0,0.0,100.0
20,line_21,,14,20,1.0,0.0,6.014,0.0,0.0,8.0,1.0,1,,True,0.0,0.0,0.0,0.0,100.0
21,line_22,,15,20,1.0,0.0,3.151,0.0,0.0,8.0,1.0,1,,True,0.0,0.0,0.0,0.0,100.0
22,line_23,,17,18,1.0,0.0,6.014,0.0,0.0,6.2,1.0,1,,True,0.0,0.0,0.0,0.0,100.0
23,line_24,,18,22,1.0,0.0,11.421,0.0,0.0,2.875,1.0,1,,True,0.0,0.0,0.0,0.0,100.0
24,line_25,,18,25,1.0,0.0,27.281,0.0,0.0,2.5,1.0,1,,True,0.0,0.0,0.0,0.0,100.0
25,line_26,,19,21,1.0,0.0,6.354,0.0,0.0,8.7,1.0,1,,True,0.0,0.0,0.0,0.0,100.0
26,line_27,,19,24,1.0,0.0,8.628,0.0,0.0,6.2,1.0,1,,True,0.0,0.0,0.0,0.0,100.0
27,line_28,,23,24,1.0,0.0,5.092,0.0,0.0,6.6,1.0,1,,True,0.0,0.0,0.0,0.0,100.0
28,line_29,,21,25,1.0,0.0,6.676,0.0,0.0,6.6,1.0,1,,True,0.0,0.0,0.0,0.0,100.0
29,line_30,,22,25,1.0,0.0,15.858,0.0,0.0,2.875,1.0,1,,True,0.0,0.0,0.0,0.0,100.0
30,line_31,,26,28,1.0,0.0,19.691,0.0,0.0,2.5,1.0,1,,True,0.0,0.0,0.0,0.0,100.0
31,line_32,,26,27,1.0,0.0,5.658,0.0,0.0,5.0,1.0,1,,True,0.0,0.0,0.0,0.0,100.0
32,line_33,,26,31,1.0,0.0,2.928,0.0,0.0,5.0,1.0,1,,True,0.0,0.0,0.0,0.0,100.0
33,line_34,,27,28,1.0,0.0,8.276,0.0,0.0,2.5,1.0,1,,True,0.0,0.0,0.0,0.0,100.0
34,line_35,,27,29,1.0,0.0,3.485,0.0,0.0,5.5,1.0,1,,True,0.0,0.0,0.0,0.0,100.0
35,line_36,,28,30,1.0,0.0,1.426,0.0,0.0,5.0,1.0,1,,True,0.0,0.0,0.0,0.0,100.0
36,line_37,,29,33,1.0,0.0,9.36,0.0,0.0,5.5,1.0,1,,True,0.0,0.0,0.0,0.0,100.0
37,line_38,,30,32,1.0,0.0,3.745,0.0,0.0,5.5,1.0,1,,True,0.0,0.0,0.0,0.0,100.0
38,line_39,,31,34,1.0,0.0,3.614,0.0,0.0,5.0,1.0,1,,True,0.0,0.0,0.0,0.0,100.0
39,line_40,,32,35,1.0,0.0,5.758,0.0,0.0,5.25,1.0,1,,True,0.0,0.0,0.0,0.0,100.0
40,line_41,,33,35,1.0,0.0,4.131,0.0,0.0,5.0,1.0,1,,True,0.0,0.0,0.0,0.0,100.0
