,p_from_mw,q_from_mvar,p_to_mw,q_to_mvar,pl_mw,ql_mvar,i_from_ka,i_to_ka,i_ka,vm_from_pu,va_from_degree,vm_to_pu,va_to_degree,loading_percent
0,313.1314271213329,0.0,-313.1314271213329,0.0,0.0,0.0,0.47575398352692955,0.47575398352692955,0.47575398352692955,1.0,0.0,1.0,-0.5481729488996577,5.94692479408662
1,1208.0289957803689,0.0,-1208.0289957803689,0.0,0.0,0.0,1.835410173428077,1.835410173428077,1.835410173428077,1.0,9.193451764772846,1.0,8.508012726875835,30.590169557134615
2,-316.58204846473564,0.0,316.58204846473564,0.0,0.0,0.0,0.48099666026767973,0.48099666026767973,0.48099666026767973,1.0,9.193451764772846,1.0,9.466915759176763,7.287828185873936
3,1452.5125795474469,0.0,-1452.5125795474469,0.0,0.0,0.0,2.2068645494816743,2.2068645494816743,2.2068645494816743,1.0,9.466915759176763,1.0,8.24796626019687,36.78107582469457
4,-579.0249330472352,0.0,579.0249330472352,0.0,0.0,0.0,0.8797373709534902,0.8797373709534902,0.8797373709534902,1.0,6.672580724636142,1.0,8.24796626019687,12.390667196528032
5,1380.3101193742104,0.0,-1380.3101193742104,0.0,0.0,0.0,2.097164260489118,2.097164260489118,2.097164260489118,1.0,6.672580724636142,1.0,5.094147959016883,26.214553256113977
6,-324.6709977085857,0.0,324.6709977085857,0.0,0.0,0.0,0.4932865471713587,0.4932865471713587,0.4932865471713587,1.0,-0.5481729488996577,1.0,1.102843626956505,6.166081839641984
7,2299.7499897327452,0.0,-2299.7499897327452,0.0,0.0,0.0,3.494108620107999,3.494108620107999,3.494108620107999,1.0,5.094147959016883,1.0,1.102843626956505,56.35659064690321
8,413.27555536293585,0.0,-413.27555536293585,0.0,0.0,0.0,0.6279072451007451,0.6279072451007451,0.6279072451007451,1.0,8.24796626019687,1.0,7.402641038719505,20.25507242260468
9,460.212091142434,0.0,-460.212091142434,0.0,0.0,0.0,0.699219933435276,0.699219933435276,0.699219933435276,1.0,8.24796626019687,1.0,5.343810998110294,27.96879733741104
10,1208.028995780367,0.0,-1208.028995780367,0.0,0.0,0.0,1.8354101734280743,1.8354101734280743,1.8354101734280743,1.0,8.508012726875835,1.0,6.065357246370125,30.590169557134573
11,403.74732514714924,0.0,-403.74732514714924,0.0,0.0,0.0,0.613430596995521,0.613430596995521,0.613430596995521,1.0,6.065357246370125,1.0,5.772509902926166,12.417623420961963
12,804.2816706332187,0.0,-804.2816706332187,0.0,0.0,0.0,1.2219795764325547,1.2219795764325547,1.2219795764325547,1.0,6.065357246370125,1.0,5.343810998110294,15.274744705406935
13,489.83079482991957,0.0,-489.83079482991957,0.0,0.0,0.0,0.7442208980326905,0.7442208980326905,0.7442208980326905,1.0,7.402641038719505,1.0,5.343810998110294,29.768835921307623
14,1975.07899202416,0.0,-1975.07899202416,0.0,0.0,0.0,3.000822072936641,3.000822072936641,3.000822072936641,1.0,1.102843626956505,1.0,-5.3727212911273226,48.40035601510711
15,998.3466978382478,0.0,-998.3466978382478,0.0,0.0,0.0,1.5168308808986484,1.5168308808986484,1.5168308808986484,1.0,-5.3727212911273226,1.0,-8.549677241689452,24.465014208042714
16,1964.377984181851,0.0,-1964.377984181851,0.0,0.0,0.0,2.9845635735725424,2.9845635735725424,2.9845635735725424,1.0,5.343810998110294,1.0,1.7139772409530658,45.220660205644585
17,-210.05342756595746,0.0,210.05342756595746,0.0,0.0,0.0,0.31914316565633977,0.31914316565633977,0.31914316565633977,1.0,5.343810998110294,1.0,5.493667261403035,3.9892895707042473
18,210.05342756595746,0.0,-210.05342756595746,0.0,0.0,0.0,0.31914316565633977,0.31914316565633977,0.31914316565633977,1.0,5.902063084614619,1.0,5.493667261403035,3.9892895707042473
19,-144.39524633044493,0.0,144.39524633044493,0.0,0.0,0.0,0.21938587983838084,0.21938587983838084,0.21938587983838084,1.0,5.772509902926166,1.0,5.820121128281292,2.7423234979797604
20,-144.39524633043902,0.0,144.39524633043902,0.0,0.0,0.0,0.21938587983837182,0.21938587983837182,0.21938587983837182,1.0,5.820121128281292,1.0,6.164686602752671,2.7423234979796476
21,-210.05342755563197,0.0,210.05342755563197,0.0,0.0,0.0,0.31914316564065176,0.31914316564065176,0.31914316564065176,1.0,5.902063084614619,1.0,6.164686602752671,3.989289570508147
22,-561.8809976715197,0.0,561.8809976715197,0.0,0.0,0.0,0.8536898559425985,0.8536898559425985,0.8536898559425985,1.0,-8.549677241689452,1.0,-7.208879691359527,13.76919122488062
23,25.770303270181557,0.0,-25.770303270181557,0.0,0.0,0.0,0.039153925079309516,0.039153925079309516,0.039153925079309516,1.0,-7.208879691359527,1.0,-7.325662549553766,1.361875654932505
24,25.768414021014223,0.0,-25.768414021014223,0.0,0.0,0.0,0.03915105466216392,0.03915105466216392,0.03915105466216392,1.0,-7.208879691359527,1.0,-7.4878149499779205,1.5660421864865568
25,1779.8055890895923,0.0,-1779.8055890895923,0.0,0.0,0.0,2.7041348314896756,2.7041348314896756,2.7041348314896756,1.0,1.7139772409530658,1.0,-2.773220578016657,31.082009557352595
26,-276.42931329155476,0.0,276.42931329155476,0.0,0.0,0.0,0.4199908906336383,0.4199908906336383,0.4199908906336383,1.0,1.7139772409530658,1.0,2.660322630130471,6.7740466231231995
27,1444.6402054309767,0.0,-1444.6402054309767,0.0,0.0,0.0,2.1949037144413968,2.1949037144413968,2.1949037144413968,1.0,5.579117213272146,1.0,2.660322630130471,33.25611688547571
28,1779.8055890895926,0.0,-1779.8055890895926,0.0,0.0,0.0,2.7041348314896756,2.7041348314896756,2.7041348314896756,1.0,-2.773220578016657,1.0,-7.4878149499779205,40.971739871055696
29,25.770303270181785,0.0,-25.770303270181785,0.0,0.0,0.0,0.03915392507930986,0.03915392507930986,0.03915392507930986,1.0,-7.325662549553766,1.0,-7.4878149499779205,1.361875654932517
30,-380.98274348735305,0.0,380.98274348735305,0.0,0.0,0.0,0.9998204068592065,0.9998204068592065,0.9998204068592065,1.0,4.488542254889378,1.0,13.369306636555642,39.99281627436826
31,-1232.418861980028,0.0,1232.418861980028,0.0,0.0,0.0,3.234260735084279,3.234260735084279,3.234260735084279,1.0,4.488542254889378,1.0,12.74319010020713,64.68521470168558
32,244.70553348036287,0.0,-244.70553348036287,0.0,0.0,0.0,0.6421854801230841,0.6421854801230841,0.6421854801230841,1.0,4.488542254889378,1.0,3.640354236568143,12.843709602461681
33,-63.908322973232316,0.0,63.908322973232316,0.0,0.0,0.0,0.16771585214569645,0.16771585214569645,0.16771585214569645,1.0,12.74319010020713,1.0,13.369306636555642,6.708634085827859
34,-482.9103820275859,0.0,482.9103820275859,0.0,0.0,0.0,1.2673110866276898,1.2673110866276898,1.2673110866276898,1.0,12.74319010020713,1.0,14.735452761461463,23.042019756867084
35,-444.8910664554305,0.0,444.8910664554305,0.0,0.0,0.0,1.1675362589913751,1.1675362589913751,1.1675362589913751,1.0,13.369306636555642,1.0,14.120324870503653,23.350725179827503
36,295.6078544425593,0.0,-295.6078544425593,0.0,0.0,0.0,0.7757694288044515,0.7757694288044515,0.7757694288044515,1.0,14.735452761461463,1.0,11.460016981782596,14.104898705535481
37,364.9818819962479,0.0,-364.9818819962479,0.0,0.0,0.0,0.9578290355448635,0.9578290355448635,0.9578290355448635,1.0,14.120324870503653,1.0,12.502243346081338,17.415073373542974
38,244.70553348552494,0.0,-244.70553348552494,0.0,0.0,0.0,0.6421854801366309,0.6421854801366309,0.6421854801366309,1.0,3.640354236568143,1.0,2.5934445718558456,12.843709602732616
39,364.9818819962477,0.0,-364.9818819962477,0.0,0.0,0.0,0.9578290355448629,0.9578290355448629,0.9578290355448629,1.0,12.502243346081338,1.0,10.014415998251248,18.24436258180691
40,295.6078544425595,0.0,-295.6078544425595,0.0,0.0,0.0,0.7757694288044521,0.7757694288044521,0.7757694288044521,1.0,11.460016981782596,1.0,10.014415998251248,15.515388576089043
