,name,bus,p_mw,q_mvar,const_z_percent,const_i_percent,sn_mva,scaling,in_service,type,controllable
0,Nuclear1,23,500.0,0.0,0.0,0.0,,1.0,True,wye,False
1,Load1,4,213.07153333333335,0.0,0.0,0.0,,1.0,True,wye,False
2,Load2,3,213.07153333333335,0.0,0.0,0.0,,1.0,True,wye,False
3,Load3,9,714.5691666666667,0.0,0.0,0.0,,1.0,True,wye,False
4,Load4,11,808.1127666666666,0.0,0.0,0.0,,1.0,True,wye,False
5,Load5,13,2560.75605,0.0,0.0,0.0,,1.0,True,wye,False
6,Load6,19,2148.9043666666666,0.0,0.0,0.0,,1.0,True,wye,False
7,Load7,18,1343.3900333333333,0.0,0.0,0.0,,1.0,True,wye,False
8,Load8,23,365.0798833333333,0.0,0.0,0.0,,1.0,True,wye,False
9,Load9,25,930.2391333333333,0.0,0.0,0.0,,1.0,True,wye,False
10,Load10,27,643.11225,0.0,0.0,0.0,,1.0,True,wye,False
11,Load11,29,323.50494999999995,0.0,0.0,0.0,,1.0,True,wye,False
12,Load12,30,417.0485499999999,0.0,0.0,0.0,,1.0,True,wye,False
13,Load13,35,64.96083333333333,0.0,0.0,0.0,,1.0,True,wye,False
14,PV1,4,-1282.1661613403492,0.0,0.0,0.0,,1.0,True,wye,False
15,PV2,3,-626.7187264325685,0.0,0.0,0.0,,1.0,True,wye,False
16,PV3,9,-758.3739665435276,0.0,0.0,0.0,,1.0,True,wye,False
17,PV4,11,-1198.8374648310876,0.0,0.0,0.0,,1.0,True,wye,False
18,PV5,13,-1457.9503282004675,0.0,0.0,0.0,,1.0,True,wye,False
19,PV6,19,-261.87904486588496,0.0,0.0,0.0,,1.0,True,wye,False
20,PV7,18,-1911.5809212691809,0.0,0.0,0.0,,1.0,True,wye,False
21,PV8,23,-737.0726472255857,0.0,0.0,0.0,,1.0,True,wye,False
22,PV9,25,-1096.6428084469794,0.0,0.0,0.0,,1.0,True,wye,False
23,PV10,27,-845.9524769194817,0.0,0.0,0.0,,1.0,True,wye,False
24,PV11,29,-1002.3048317156463,0.0,0.0,0.0,,1.0,True,wye,False
25,PV12,30,-626.921498451678,0.0,0.0,0.0,,1.0,True,wye,False
26,PV13,35,-127.17075959234964,0.0,0.0,0.0,,1.0,True,wye,False
27,WindOff1,0,-167.78279933850197,0.0,0.0,0.0,,1.0,True,wye,False
28,WindOff2,1,-891.4469473104682,0.0,0.0,0.0,,1.0,True,wye,False
29,WindOff3,20,-453.9467979765828,0.0,0.0,0.0,,1.0,True,wye,False
30,WindOff4,23,-1387.2763328019682,0.0,0.0,0.0,,1.0,True,wye,False
31,WindOn1,4,-700.0,0.0,0.0,0.0,,1.0,True,wye,False
32,WindOn2,3,-387.63799322257745,0.0,0.0,0.0,,1.0,True,wye,False
33,WindOn3,9,-32.75043957979747,0.0,0.0,0.0,,1.0,True,wye,False
34,WindOn4,11,-12.643228264299294,0.0,0.0,0.0,,1.0,True,wye,False
35,WindOn5,13,-554.6631503167794,0.0,0.0,0.0,,1.0,True,wye,False
36,WindOn6,19,-1426.0236133752248,0.0,0.0,0.0,,1.0,True,wye,False
37,WindOn7,18,-45.22882702686876,0.0,0.0,0.0,,1.0,True,wye,False
38,WindOn8,23,-185.37110872643183,0.0,0.0,0.0,,1.0,True,wye,False
39,WindOn9,25,-10.674645019601673,0.0,0.0,0.0,,1.0,True,wye,False
40,WindOn10,27,-482.7599300597245,0.0,0.0,0.0,,1.0,True,wye,False
41,WindOn11,29,-99.71835475449792,0.0,0.0,0.0,,1.0,True,wye,False
42,WindOn12,30,-600.0,0.0,0.0,0.0,,1.0,True,wye,False
43,WindOn13,35,-196.64020766071164,0.0,0.0,0.0,,1.0,True,wye,False
