date,Controller1-0.time-based_0-dump
2012-02-01 00:00:00,-1.4855693816671625
2012-02-01 00:15:00,-1.5134433436308925
2012-02-01 00:30:00,-0.3099619800014337
2012-02-01 00:45:00,-0.0
2012-02-01 01:00:00,-0.0933517015206688
2012-02-01 01:15:00,-0.2342588945442865
2012-02-01 01:30:00,-0.4161953208453096
2012-02-01 01:45:00,-0.4495458953952848
2012-02-01 02:00:00,-0.2337699477437967
2012-02-01 02:15:00,-0.2311940286800271
2012-02-01 02:30:00,-0.5748278289232371
2012-02-01 02:45:00,-0.6965695558570031
2012-02-01 03:00:00,-0.5512393678318952
2012-02-01 03:15:00,-0.3607060729914276
2012-02-01 03:30:00,-0.2842326812795561
2012-02-01 03:45:00,-0.2151295980306269
2012-02-01 04:00:00,-0.2350965629914276
2012-02-01 04:15:00,-0.3232537406246494
2012-02-01 04:30:00,-0.377229748905841
2012-02-01 04:45:00,-0.4202303994215087
2012-02-01 05:00:00,-0.4480735884970259
2012-02-01 05:15:00,-0.3678166889573833
2012-02-01 05:30:00,-0.4221909426858866
2012-02-01 05:45:00,-0.4674265261273099
2012-02-01 06:00:00,-0.5279394824388071
2012-02-01 06:15:00,-0.506790611364594
2012-02-01 06:30:00,-0.5592152365906362
2012-02-01 06:45:00,-0.0619377191217262
2012-02-01 07:00:00,-0.1335220971832202
2012-02-01 07:15:00,-0.3105819095240535
2012-02-01 07:30:00,-0.4719269039531272
2012-02-01 07:45:00,-0.5622028986257503
2012-02-01 08:00:00,-0.5097832761319436
2012-02-01 08:15:00,-0.5202563116297949
2012-02-01 08:30:00,-0.2550946109147949
2012-02-01 08:45:00,-0.109764768136587
2012-02-01 09:00:00,-0.0838948608035332
2012-02-01 09:15:00,-0.0
2012-02-01 09:30:00,-0.0
2012-02-01 09:45:00,-0.0
2012-02-01 10:00:00,-0.0
2012-02-01 10:15:00,-0.0
2012-02-01 10:30:00,-0.0
2012-02-01 10:45:00,-0.0
2012-02-01 11:00:00,-0.0
2012-02-01 11:15:00,-0.0
2012-02-01 11:30:00,-0.0
2012-02-01 11:45:00,-0.0
2012-02-01 12:00:00,-0.0
2012-02-01 12:15:00,-0.0
2012-02-01 12:30:00,-0.0
2012-02-01 12:45:00,-0.0
2012-02-01 13:00:00,-0.0
2012-02-01 13:15:00,-0.0
2012-02-01 13:30:00,-0.0
2012-02-01 13:45:00,-0.0
2012-02-01 14:00:00,-0.0
2012-02-01 14:15:00,-0.0
2012-02-01 14:30:00,-0.0
2012-02-01 14:45:00,-0.0
2012-02-01 15:00:00,-0.0
2012-02-01 15:15:00,-0.0
2012-02-01 15:30:00,-0.0
2012-02-01 15:45:00,-0.0
2012-02-01 16:00:00,-0.0
2012-02-01 16:15:00,-0.0
2012-02-01 16:30:00,-0.0
2012-02-01 16:45:00,-0.0
2012-02-01 17:00:00,-0.0
2012-02-01 17:15:00,-0.0
2012-02-01 17:30:00,-0.0
2012-02-01 17:45:00,-0.0
2012-02-01 18:00:00,-0.0
2012-02-01 18:15:00,-0.0
2012-02-01 18:30:00,-0.0
2012-02-01 18:45:00,-0.0
2012-02-01 19:00:00,-0.0
2012-02-01 19:15:00,-0.0
2012-02-01 19:30:00,-0.0
2012-02-01 19:45:00,-0.0
2012-02-01 20:00:00,-0.0
2012-02-01 20:15:00,-0.0
2012-02-01 20:30:00,-0.0
2012-02-01 20:45:00,-0.0
2012-02-01 21:00:00,-0.0
2012-02-01 21:15:00,-0.0
2012-02-01 21:30:00,-0.0
2012-02-01 21:45:00,-0.0
2012-02-01 22:00:00,-0.0
2012-02-01 22:15:00,-0.0
2012-02-01 22:30:00,-0.0
2012-02-01 22:45:00,-0.0
2012-02-01 23:00:00,-0.0
2012-02-01 23:15:00,-0.0
2012-02-01 23:30:00,-0.0
